t_sec,pid,parent,name,ws_mb,pb_mb
58.7,26348,36732,audio-desktop.exe,36.5,7.5
58.7,33052,26348,msedgewebview2.exe,146,50
58.7,15880,26348,audio_server.exe,34.1,25.7
58.7,34040,33052,msedgewebview2.exe,14.1,3.1
58.7,18344,34040,msedgewebview2.exe,13.4,2.9
58.7,13020,33052,msedgewebview2.exe,107.8,160.2
58.7,34932,33052,msedgewebview2.exe,41.3,12.9
58.7,25792,33052,msedgewebview2.exe,22.4,8.8
58.7,4360,33052,msedgewebview2.exe,141.7,78.6
63.9,26348,36732,audio-desktop.exe,36.5,7.5
63.9,33052,26348,msedgewebview2.exe,148.2,52
63.9,15880,26348,audio_server.exe,34.5,26
63.9,34040,33052,msedgewebview2.exe,14.1,3.1
63.9,18344,34040,msedgewebview2.exe,13.4,2.9
63.9,13020,33052,msedgewebview2.exe,112.2,166.3
63.9,34932,33052,msedgewebview2.exe,41.4,13.1
63.9,25792,33052,msedgewebview2.exe,22.4,8.8
63.9,4360,33052,msedgewebview2.exe,146.4,83.1
69.1,26348,36732,audio-desktop.exe,36.5,7.5
69.1,33052,26348,msedgewebview2.exe,148.3,52
69.1,15880,26348,audio_server.exe,34.7,26.2
69.1,34040,33052,msedgewebview2.exe,14.1,3.1
69.1,18344,34040,msedgewebview2.exe,13.4,2.9
69.1,13020,33052,msedgewebview2.exe,112,162
69.1,34932,33052,msedgewebview2.exe,41.6,13.3
69.1,25792,33052,msedgewebview2.exe,22.4,8.8
69.1,4360,33052,msedgewebview2.exe,149.1,85.9
74.4,26348,36732,audio-desktop.exe,36.5,7.5
74.4,33052,26348,msedgewebview2.exe,146.2,49.8
74.4,15880,26348,audio_server.exe,34.7,26.2
74.4,34040,33052,msedgewebview2.exe,14.1,3.1
74.4,18344,34040,msedgewebview2.exe,13.4,2.9
74.4,13020,33052,msedgewebview2.exe,105.7,152.8
74.4,34932,33052,msedgewebview2.exe,41.3,12.9
74.4,25792,33052,msedgewebview2.exe,22.4,8.8
74.4,4360,33052,msedgewebview2.exe,144.1,82.2
79.6,26348,36732,audio-desktop.exe,36.4,7.3
79.6,33052,26348,msedgewebview2.exe,146.3,49.9
79.6,15880,26348,audio_server.exe,34.7,26.2
79.6,34040,33052,msedgewebview2.exe,14.1,3.1
79.6,18344,34040,msedgewebview2.exe,13.3,2.8
79.6,13020,33052,msedgewebview2.exe,108.5,159.6
79.6,34932,33052,msedgewebview2.exe,41.4,13
79.6,25792,33052,msedgewebview2.exe,22.4,8.8
79.6,4360,33052,msedgewebview2.exe,143,81.1
84.9,26348,36732,audio-desktop.exe,36.4,7.3
84.9,33052,26348,msedgewebview2.exe,147.8,51.5
84.9,15880,26348,audio_server.exe,34.8,26.3
84.9,34040,33052,msedgewebview2.exe,14.1,3.1
84.9,18344,34040,msedgewebview2.exe,13.3,2.8
84.9,13020,33052,msedgewebview2.exe,108.4,136.8
84.9,34932,33052,msedgewebview2.exe,41.4,12.8
84.9,25792,33052,msedgewebview2.exe,22.4,8.8
84.9,4360,33052,msedgewebview2.exe,142.4,80.4
90.1,26348,36732,audio-desktop.exe,36.4,7.3
90.1,33052,26348,msedgewebview2.exe,146.1,49.8
90.1,15880,26348,audio_server.exe,34.8,26.3
90.1,34040,33052,msedgewebview2.exe,14.1,3.1
90.1,18344,34040,msedgewebview2.exe,13.3,2.8
90.1,13020,33052,msedgewebview2.exe,105.4,127.8
90.1,34932,33052,msedgewebview2.exe,41.4,12.8
90.1,25792,33052,msedgewebview2.exe,22.4,8.8
90.1,4360,33052,msedgewebview2.exe,142.5,80.3
95.3,26348,36732,audio-desktop.exe,51.2,15.4
95.3,33052,26348,msedgewebview2.exe,150.5,54.2
95.3,15880,26348,audio_server.exe,222.8,288.2
95.3,34040,33052,msedgewebview2.exe,14.1,3
95.3,18344,34040,msedgewebview2.exe,13.3,2.7
95.3,13020,33052,msedgewebview2.exe,113.1,144.7
95.3,34932,33052,msedgewebview2.exe,42,13
95.3,25792,33052,msedgewebview2.exe,22.4,8.8
95.3,4360,33052,msedgewebview2.exe,250.1,175.2
100.6,26348,36732,audio-desktop.exe,50.8,15
100.6,33052,26348,msedgewebview2.exe,147.4,50.8
100.6,15880,26348,audio_server.exe,222.5,287.5
100.6,34040,33052,msedgewebview2.exe,14.1,3
100.6,18344,34040,msedgewebview2.exe,13.3,2.7
100.6,13020,33052,msedgewebview2.exe,110.3,134.1
100.6,34932,33052,msedgewebview2.exe,42.1,13.1
100.6,25792,33052,msedgewebview2.exe,22.4,8.8
100.6,4360,33052,msedgewebview2.exe,245.6,170.3
105.8,26348,36732,audio-desktop.exe,50.8,15
105.8,33052,26348,msedgewebview2.exe,150.1,50.9
105.8,15880,26348,audio_server.exe,222.4,287.1
105.8,34040,33052,msedgewebview2.exe,14.1,3
105.8,18344,34040,msedgewebview2.exe,13.3,2.7
105.8,13020,33052,msedgewebview2.exe,109,127
105.8,34932,33052,msedgewebview2.exe,42.1,13
105.8,25792,33052,msedgewebview2.exe,22.4,8.8
105.8,4360,33052,msedgewebview2.exe,249.1,173.5
111.1,26348,36732,audio-desktop.exe,50.8,15
111.1,33052,26348,msedgewebview2.exe,150.1,50.9
111.1,15880,26348,audio_server.exe,222.4,287.1
111.1,34040,33052,msedgewebview2.exe,14.1,3
111.1,18344,34040,msedgewebview2.exe,13.3,2.7
111.1,13020,33052,msedgewebview2.exe,105.4,121.5
111.1,34932,33052,msedgewebview2.exe,42,12.9
111.1,25792,33052,msedgewebview2.exe,22.4,8.8
111.1,4360,33052,msedgewebview2.exe,223.8,147.8
116.3,26348,36732,audio-desktop.exe,50.8,15
116.3,33052,26348,msedgewebview2.exe,150.4,51.3
116.3,15880,26348,audio_server.exe,222.4,287.1
116.3,34040,33052,msedgewebview2.exe,14.1,3
116.3,18344,34040,msedgewebview2.exe,13.3,2.7
116.3,13020,33052,msedgewebview2.exe,105.4,121.5
116.3,34932,33052,msedgewebview2.exe,42,12.9
116.3,25792,33052,msedgewebview2.exe,22.4,8.8
116.3,4360,33052,msedgewebview2.exe,222.1,144.4
121.5,26348,36732,audio-desktop.exe,50.8,14.9
121.5,33052,26348,msedgewebview2.exe,150.1,50.9
121.5,15880,26348,audio_server.exe,222.4,287.2
121.5,34040,33052,msedgewebview2.exe,14.1,3
121.5,18344,34040,msedgewebview2.exe,13.3,2.7
121.5,13020,33052,msedgewebview2.exe,105.4,121.5
121.5,34932,33052,msedgewebview2.exe,42,12.9
121.5,25792,33052,msedgewebview2.exe,22.4,8.8
121.5,4360,33052,msedgewebview2.exe,222.1,144.4
126.8,26348,36732,audio-desktop.exe,50.7,14.8
126.8,33052,26348,msedgewebview2.exe,149.7,50.4
126.8,15880,26348,audio_server.exe,222.3,287.1
126.8,34040,33052,msedgewebview2.exe,14.1,3
126.8,18344,34040,msedgewebview2.exe,13.3,2.7
126.8,13020,33052,msedgewebview2.exe,105.4,121.5
126.8,34932,33052,msedgewebview2.exe,42.1,13
126.8,25792,33052,msedgewebview2.exe,22.4,8.8
126.8,4360,33052,msedgewebview2.exe,222.5,145.1
132,26348,36732,audio-desktop.exe,50.7,14.8
132,33052,26348,msedgewebview2.exe,149.7,50.4
132,15880,26348,audio_server.exe,222.3,287.1
132,34040,33052,msedgewebview2.exe,14.1,3
132,18344,34040,msedgewebview2.exe,13.3,2.7
132,13020,33052,msedgewebview2.exe,105.4,121.5
132,34932,33052,msedgewebview2.exe,42.1,13.1
132,25792,33052,msedgewebview2.exe,22.4,8.8
132,4360,33052,msedgewebview2.exe,222.5,145.1
137.3,26348,36732,audio-desktop.exe,50.7,14.8
137.3,33052,26348,msedgewebview2.exe,149.6,50.4
137.3,15880,26348,audio_server.exe,222.3,287.1
137.3,34040,33052,msedgewebview2.exe,14.1,3
137.3,18344,34040,msedgewebview2.exe,13.3,2.7
137.3,13020,33052,msedgewebview2.exe,105.4,121.5
137.3,34932,33052,msedgewebview2.exe,42.1,13
137.3,25792,33052,msedgewebview2.exe,22.4,8.8
137.3,4360,33052,msedgewebview2.exe,222.5,145.1
142.5,26348,36732,audio-desktop.exe,50.7,14.8
142.5,33052,26348,msedgewebview2.exe,149.6,50.3
142.5,15880,26348,audio_server.exe,222.3,287.1
142.5,34040,33052,msedgewebview2.exe,14,3
142.5,18344,34040,msedgewebview2.exe,13.3,2.7
142.5,13020,33052,msedgewebview2.exe,105.2,121.1
142.5,34932,33052,msedgewebview2.exe,42.1,13
142.5,25792,33052,msedgewebview2.exe,22.4,8.8
142.5,4360,33052,msedgewebview2.exe,222.5,145.1
147.8,26348,36732,audio-desktop.exe,50.7,14.8
147.8,33052,26348,msedgewebview2.exe,149.6,50.3
147.8,15880,26348,audio_server.exe,222.3,287.1
147.8,34040,33052,msedgewebview2.exe,14,3
147.8,18344,34040,msedgewebview2.exe,13.3,2.7
147.8,13020,33052,msedgewebview2.exe,105.2,121.1
147.8,34932,33052,msedgewebview2.exe,42.1,13
147.8,25792,33052,msedgewebview2.exe,22.4,8.8
147.8,4360,33052,msedgewebview2.exe,222.5,145.1
153,26348,36732,audio-desktop.exe,50.7,14.8
153,33052,26348,msedgewebview2.exe,149.6,50.3
153,15880,26348,audio_server.exe,222.3,287.1
153,34040,33052,msedgewebview2.exe,14,3
153,18344,34040,msedgewebview2.exe,13.3,2.7
153,13020,33052,msedgewebview2.exe,105.2,121.1
153,34932,33052,msedgewebview2.exe,42.1,13
153,25792,33052,msedgewebview2.exe,22.4,8.8
153,4360,33052,msedgewebview2.exe,222.5,145.1
158.3,26348,36732,audio-desktop.exe,50.7,14.8
158.3,33052,26348,msedgewebview2.exe,149.6,50.2
158.3,15880,26348,audio_server.exe,222.3,287.1
158.3,34040,33052,msedgewebview2.exe,14,3
158.3,18344,34040,msedgewebview2.exe,13.3,2.7
158.3,13020,33052,msedgewebview2.exe,105.2,121.1
158.3,34932,33052,msedgewebview2.exe,42,13
158.3,25792,33052,msedgewebview2.exe,22.4,8.8
158.3,4360,33052,msedgewebview2.exe,222.5,145.1
163.5,26348,36732,audio-desktop.exe,50.7,14.8
163.5,33052,26348,msedgewebview2.exe,149.6,50.3
163.5,15880,26348,audio_server.exe,222.3,287.1
163.5,34040,33052,msedgewebview2.exe,14,3
163.5,18344,34040,msedgewebview2.exe,13.3,2.7
163.5,13020,33052,msedgewebview2.exe,105.2,121.1
163.5,34932,33052,msedgewebview2.exe,42,13
163.5,25792,33052,msedgewebview2.exe,22.4,8.8
163.5,4360,33052,msedgewebview2.exe,222.5,145.1
168.7,26348,36732,audio-desktop.exe,50.7,14.8
168.7,33052,26348,msedgewebview2.exe,149.6,50.3
168.7,15880,26348,audio_server.exe,222.3,287.1
168.7,34040,33052,msedgewebview2.exe,14,3
168.7,18344,34040,msedgewebview2.exe,13.3,2.7
168.7,13020,33052,msedgewebview2.exe,105.2,121.1
168.7,34932,33052,msedgewebview2.exe,42,13
168.7,25792,33052,msedgewebview2.exe,22.4,8.8
168.7,4360,33052,msedgewebview2.exe,222.5,145.1
174,26348,36732,audio-desktop.exe,50.7,14.8
174,33052,26348,msedgewebview2.exe,149.6,50.3
174,15880,26348,audio_server.exe,222.3,287.1
174,34040,33052,msedgewebview2.exe,14,3
174,18344,34040,msedgewebview2.exe,13.3,2.7
174,13020,33052,msedgewebview2.exe,105.2,121.1
174,34932,33052,msedgewebview2.exe,42,13
174,25792,33052,msedgewebview2.exe,22.4,8.8
174,4360,33052,msedgewebview2.exe,222.5,145.1
179.2,26348,36732,audio-desktop.exe,50.7,14.8
179.2,33052,26348,msedgewebview2.exe,149.6,50.3
179.2,15880,26348,audio_server.exe,222.3,287.1
179.2,34040,33052,msedgewebview2.exe,14,3
179.2,18344,34040,msedgewebview2.exe,13.3,2.7
179.2,13020,33052,msedgewebview2.exe,105.2,121.1
179.2,34932,33052,msedgewebview2.exe,42,13
179.2,25792,33052,msedgewebview2.exe,22.4,8.8
179.2,4360,33052,msedgewebview2.exe,222.5,145.1
184.5,26348,36732,audio-desktop.exe,50.7,14.8
184.5,33052,26348,msedgewebview2.exe,149.6,50.3
184.5,15880,26348,audio_server.exe,222.3,287.1
184.5,34040,33052,msedgewebview2.exe,14,2.9
184.5,18344,34040,msedgewebview2.exe,13.3,2.7
184.5,13020,33052,msedgewebview2.exe,105.2,121.1
184.5,34932,33052,msedgewebview2.exe,42,12.9
184.5,25792,33052,msedgewebview2.exe,22.4,8.8
184.5,4360,33052,msedgewebview2.exe,222.5,145.1
189.8,26348,36732,audio-desktop.exe,50.7,14.8
189.8,33052,26348,msedgewebview2.exe,149.6,50.3
189.8,15880,26348,audio_server.exe,222.3,287.1
189.8,34040,33052,msedgewebview2.exe,14,2.9
189.8,18344,34040,msedgewebview2.exe,13.3,2.7
189.8,13020,33052,msedgewebview2.exe,105.2,121.1
189.8,34932,33052,msedgewebview2.exe,42,12.9
189.8,25792,33052,msedgewebview2.exe,22.4,8.8
189.8,4360,33052,msedgewebview2.exe,222.5,145.1
195,26348,36732,audio-desktop.exe,50.7,14.8
195,33052,26348,msedgewebview2.exe,149.6,50.3
195,15880,26348,audio_server.exe,222.3,287.1
195,34040,33052,msedgewebview2.exe,14,2.9
195,18344,34040,msedgewebview2.exe,13.3,2.7
195,13020,33052,msedgewebview2.exe,105.2,121.1
195,34932,33052,msedgewebview2.exe,42,12.9
195,25792,33052,msedgewebview2.exe,22.4,8.8
195,4360,33052,msedgewebview2.exe,222.5,145.1
200.3,26348,36732,audio-desktop.exe,50.7,14.8
200.3,33052,26348,msedgewebview2.exe,149.6,50.3
200.3,15880,26348,audio_server.exe,222.3,287.1
200.3,34040,33052,msedgewebview2.exe,14,2.9
200.3,18344,34040,msedgewebview2.exe,13.3,2.7
200.3,13020,33052,msedgewebview2.exe,105.2,121.1
200.3,34932,33052,msedgewebview2.exe,42,12.9
200.3,25792,33052,msedgewebview2.exe,22.4,8.8
200.3,4360,33052,msedgewebview2.exe,222.5,145.1
205.5,26348,36732,audio-desktop.exe,50.5,14.6
205.5,33052,26348,msedgewebview2.exe,149.6,50.3
205.5,15880,26348,audio_server.exe,222.3,287.1
205.5,34040,33052,msedgewebview2.exe,14,2.9
205.5,18344,34040,msedgewebview2.exe,13.3,2.7
205.5,13020,33052,msedgewebview2.exe,105.2,121.1
205.5,34932,33052,msedgewebview2.exe,42,12.9
205.5,25792,33052,msedgewebview2.exe,22.4,8.8
205.5,4360,33052,msedgewebview2.exe,222.5,145.1
210.8,26348,36732,audio-desktop.exe,50.4,14.3
210.8,33052,26348,msedgewebview2.exe,149.6,50.3
210.8,15880,26348,audio_server.exe,222.3,287.1
210.8,34040,33052,msedgewebview2.exe,14,2.9
210.8,18344,34040,msedgewebview2.exe,13.3,2.7
210.8,13020,33052,msedgewebview2.exe,105.2,121.1
210.8,34932,33052,msedgewebview2.exe,42,12.9
210.8,25792,33052,msedgewebview2.exe,22.4,8.8
210.8,4360,33052,msedgewebview2.exe,222.5,145.1
216,26348,36732,audio-desktop.exe,50.4,14.3
216,33052,26348,msedgewebview2.exe,149.6,50.3
216,15880,26348,audio_server.exe,222.3,287.1
216,34040,33052,msedgewebview2.exe,14,2.9
216,18344,34040,msedgewebview2.exe,13.3,2.7
216,13020,33052,msedgewebview2.exe,105.2,121.1
216,34932,33052,msedgewebview2.exe,42,12.9
216,25792,33052,msedgewebview2.exe,22.4,8.8
216,4360,33052,msedgewebview2.exe,222.5,145.1
221.3,26348,36732,audio-desktop.exe,50.4,14.3
221.3,33052,26348,msedgewebview2.exe,149.6,50.3
221.3,15880,26348,audio_server.exe,222.3,287.1
221.3,34040,33052,msedgewebview2.exe,14,2.9
221.3,18344,34040,msedgewebview2.exe,13.3,2.7
221.3,13020,33052,msedgewebview2.exe,105.2,121.1
221.3,34932,33052,msedgewebview2.exe,42,12.9
221.3,25792,33052,msedgewebview2.exe,22.4,8.8
221.3,4360,33052,msedgewebview2.exe,222.5,145.1
