t_sec,pid,parent,name,ws_mb,pb_mb
58.6,26348,36732,audio-desktop.exe,50.5,14.4
58.6,33052,26348,msedgewebview2.exe,150.1,50.3
58.6,15880,26348,audio_server.exe,222.4,287.1
58.6,34040,33052,msedgewebview2.exe,14.2,3
58.6,18344,34040,msedgewebview2.exe,13.5,2.8
58.6,13020,33052,msedgewebview2.exe,105.1,120.9
58.6,34932,33052,msedgewebview2.exe,42.1,13
58.6,25792,33052,msedgewebview2.exe,22.6,9
58.6,4360,33052,msedgewebview2.exe,222.7,145.3
63.8,26348,36732,audio-desktop.exe,50.5,14.4
63.8,33052,26348,msedgewebview2.exe,150.1,50.3
63.8,15880,26348,audio_server.exe,222.4,287.1
63.8,34040,33052,msedgewebview2.exe,14.2,3
63.8,18344,34040,msedgewebview2.exe,13.5,2.8
63.8,13020,33052,msedgewebview2.exe,105.1,120.9
63.8,34932,33052,msedgewebview2.exe,42.1,13
63.8,25792,33052,msedgewebview2.exe,22.6,9
63.8,4360,33052,msedgewebview2.exe,222.7,145.3
69,26348,36732,audio-desktop.exe,50.5,14.4
69,33052,26348,msedgewebview2.exe,150.2,50.4
69,15880,26348,audio_server.exe,222.4,287.1
69,34040,33052,msedgewebview2.exe,14.2,3
69,18344,34040,msedgewebview2.exe,13.5,2.8
69,13020,33052,msedgewebview2.exe,105.1,120.8
69,34932,33052,msedgewebview2.exe,42.1,13
69,25792,33052,msedgewebview2.exe,22.6,8.9
69,4360,33052,msedgewebview2.exe,222.7,145.3
74.3,26348,36732,audio-desktop.exe,50.6,14.4
74.3,33052,26348,msedgewebview2.exe,150.2,50.4
74.3,15880,26348,audio_server.exe,222.4,287.1
74.3,34040,33052,msedgewebview2.exe,14.2,3
74.3,18344,34040,msedgewebview2.exe,13.5,2.8
74.3,13020,33052,msedgewebview2.exe,105.2,120.9
74.3,34932,33052,msedgewebview2.exe,42.2,13.1
74.3,25792,33052,msedgewebview2.exe,22.6,8.9
74.3,4360,33052,msedgewebview2.exe,222.7,145.3
79.6,26348,36732,audio-desktop.exe,50.6,14.4
79.6,33052,26348,msedgewebview2.exe,150.2,50.4
79.6,15880,26348,audio_server.exe,222.4,287.1
79.6,34040,33052,msedgewebview2.exe,14.2,3
79.6,18344,34040,msedgewebview2.exe,13.5,2.8
79.6,13020,33052,msedgewebview2.exe,104.9,120.9
79.6,34932,33052,msedgewebview2.exe,42.2,13
79.6,25792,33052,msedgewebview2.exe,22.6,8.9
79.6,4360,33052,msedgewebview2.exe,222.7,145.3
84.8,26348,36732,audio-desktop.exe,50.6,14.4
84.8,33052,26348,msedgewebview2.exe,150.2,50.4
84.8,15880,26348,audio_server.exe,222.4,287.1
84.8,34040,33052,msedgewebview2.exe,14.2,3
84.8,18344,34040,msedgewebview2.exe,13.5,2.8
84.8,13020,33052,msedgewebview2.exe,104.4,120.9
84.8,34932,33052,msedgewebview2.exe,42.2,13
84.8,25792,33052,msedgewebview2.exe,22.6,8.9
84.8,4360,33052,msedgewebview2.exe,222.7,145.3
90.1,26348,36732,audio-desktop.exe,50.6,14.4
90.1,33052,26348,msedgewebview2.exe,150.2,50.4
90.1,15880,26348,audio_server.exe,222.4,287.1
90.1,34040,33052,msedgewebview2.exe,14.2,3
90.1,18344,34040,msedgewebview2.exe,13.5,2.8
90.1,13020,33052,msedgewebview2.exe,104.4,120.9
90.1,34932,33052,msedgewebview2.exe,42.2,13
90.1,25792,33052,msedgewebview2.exe,22.6,8.9
90.1,4360,33052,msedgewebview2.exe,222.7,145.3
95.3,26348,36732,audio-desktop.exe,50.6,14.4
95.3,33052,26348,msedgewebview2.exe,150.2,50.4
95.3,15880,26348,audio_server.exe,222.4,287.1
95.3,34040,33052,msedgewebview2.exe,14.2,3
95.3,18344,34040,msedgewebview2.exe,13.5,2.8
95.3,13020,33052,msedgewebview2.exe,104.4,120.9
95.3,34932,33052,msedgewebview2.exe,42.2,13
